contentId;bytes;srcUserId;dstUserId;type;timestamp
20;1024;0;36;1;1588232228620
198;1024;50;32;0;1588232228668
78;1024;0;35;1;1588232228716
122;1024;0;31;1;1588232228736
181;1024;56;18;0;1588232228758
132;1024;0;24;1;1588232228764
183;1024;17;62;0;1588232228780
170;1024;71;14;0;1588232228836
17;1024;0;8;1;1588232228844
51;1024;64;5;0;1588232228875
52;1024;0;59;1;1588232228883
148;1024;0;66;1;1588232228918
82;1024;0;37;1;1588232228930
3;1024;0;68;1;1588232228942
49;1024;7;37;0;1588232229035
63;1024;0;28;1;1588232229053
47;1024;0;59;1;1588232229075
93;1024;0;51;1;1588232229085
58;1024;0;26;1;1588232229093
115;1024;0;16;1;1588232229112
40;1024;0;57;1;1588232229158
150;1024;0;24;1;1588232229182
79;1024;0;26;1;1588232229218
69;1024;0;1;1;1588232229268
111;1024;0;36;1;1588232229282
67;1024;0;63;1;1588232229289
198;1024;0;51;1;1588232229295
60;1024;0;56;1;1588232229308
99;1024;0;6;1;1588232229382
76;1024;8;65;0;1588232229446
169;1024;0;28;1;1588232229455
83;1024;0;10;1;1588232229468
18;1024;0;43;1;1588232229509
34;1024;0;36;1;1588232229590
143;1024;37;65;0;1588232229609
0;1024;0;75;1;1588232229610
56;1024;60;7;0;1588232229682
130;1024;0;34;1;1588232229684
171;1024;49;3;0;1588232229699
81;1024;0;35;1;1588232229706
169;1024;36;58;0;1588232229792
158;1024;25;12;0;1588232229831
157;1024;0;8;1;1588232229831
123;1024;63;19;0;1588232229868
157;1024;57;54;0;1588232229884
193;1024;0;13;1;1588232229895
124;1024;0;55;1;1588232229900
134;1024;66;16;0;1588232229913
137;1024;14;67;0;1588232229960
147;1024;45;22;0;1588232230029
45;1024;0;47;1;1588232230032
57;1024;2;19;0;1588232230058
183;1024;58;18;0;1588232230079
172;1024;0;20;1;1588232230134
88;1024;0;66;1;1588232230160
177;1024;69;70;0;1588232230176
123;1024;13;1;0;1588232230198
177;1024;0;31;1;1588232230211
95;1024;0;68;1;1588232230273
107;1024;0;72;1;1588232230359
45;1024;63;75;0;1588232230364
73;1024;31;65;0;1588232230373
131;1024;0;11;1;1588232230392
48;1024;0;65;1;1588232230442
56;1024;60;32;0;1588232230442
52;1024;18;36;0;1588232230512
134;1024;0;66;1;1588232230566
65;1024;0;16;1;1588232230585
119;1024;0;31;1;1588232230585
